hash_hex,count,hash_method,hash_size
9f999b19d9234272b643dbcd494dd0de169a2350c9e070569fd2693173159ed5,3,phash,16
9f999b19d9234373b643dbcd494dd0de169a2350c9e070569fd2691173159e55,2,phash,16
9f999b1999234373b643dbcd4945d0de169a2358c9e070569fd2691173179e55,3,phash,16
