img_a,img_b,distance,relation,hash_method,hash_size
thumb_256/2932516903690894.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/2932516903690894.jpg,thumb_256/957412661743532.jpg,4,similar,phash,16
thumb_256/301709351672860.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/301709351672860.jpg,thumb_256/957412661743532.jpg,4,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/319606282937464.jpg,4,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/488358322361523.jpg,4,similar,phash,16
thumb_256/307424790939740.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/310266827281490.jpg,thumb_256/395184544865661.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/3238465906384267.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/395184544865661.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/4380162912015481.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/488358322361523.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/522002192501922.jpg,4,similar,phash,16
thumb_256/319606282937464.jpg,thumb_256/773745143513976.jpg,4,similar,phash,16
thumb_256/3238465906384267.jpg,thumb_256/395184544865661.jpg,4,similar,phash,16
thumb_256/3238465906384267.jpg,thumb_256/488358322361523.jpg,4,similar,phash,16
thumb_256/3238465906384267.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/395184544865661.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/4059108610791245.jpg,thumb_256/825911051665798.jpg,4,similar,phash,16
thumb_256/4380162912015481.jpg,thumb_256/488358322361523.jpg,4,similar,phash,16
thumb_256/4380162912015481.jpg,thumb_256/522002192501922.jpg,4,similar,phash,16
thumb_256/4380162912015481.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/4403689266310587.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
thumb_256/4403689266310587.jpg,thumb_256/957412661743532.jpg,4,similar,phash,16
thumb_256/522002192501922.jpg,thumb_256/773745143513976.jpg,4,similar,phash,16
thumb_256/773745143513976.jpg,thumb_256/878956852687613.jpg,4,similar,phash,16
