id,left,right,liked,seen
34cd89fb-f1f4-422d-8c32-334e4515aaa2__64f5d83c-2aa3-4f68-91d2-7908092a3fb2,"{'src': 'http://localhost:8000/image/34cd89fb-f1f4-422d-8c32-334e4515aaa2', 'lat': 52.518594677115, 'lng': 13.38859513831}","{'src': 'http://localhost:8000/image/64f5d83c-2aa3-4f68-91d2-7908092a3fb2', 'lat': 52.518532601575, 'lng': 13.388500294161}",True,True
7a5dfc4e-aa4e-42c3-8889-89b7cbb491f4__7ed7c318-379d-4320-a68f-cbb0bf83f339,"{'src': 'http://localhost:8000/image/7a5dfc4e-aa4e-42c3-8889-89b7cbb491f4', 'lat': 52.51441249132, 'lng': 13.401148084167}","{'src': 'http://localhost:8000/image/7ed7c318-379d-4320-a68f-cbb0bf83f339', 'lat': 52.514375268095, 'lng': 13.401050463647}",True,True
026badba-0fbd-43b8-a012-330d211eed11__07801887-6ddb-420f-9099-36c6653aaa7e,"{'src': 'http://localhost:8000/image/026badba-0fbd-43b8-a012-330d211eed11', 'lat': 52.515647094292, 'lng': 13.388984439864}","{'src': 'http://localhost:8000/image/07801887-6ddb-420f-9099-36c6653aaa7e', 'lat': 52.515635116807, 'lng': 13.389091770811}",True,True
0294fcd4-20cd-4f6e-9913-c1e6d8b85121__02f004be-0d0c-4c7e-a979-201680396b01,"{'src': 'http://localhost:8000/image/0294fcd4-20cd-4f6e-9913-c1e6d8b85121', 'lat': 52.513987063431, 'lng': 13.401411157437}","{'src': 'http://localhost:8000/image/02f004be-0d0c-4c7e-a979-201680396b01', 'lat': 52.514062426756, 'lng': 13.401443109203}",True,True
19860b0a-0055-45d4-b624-1f49ea9a8890__d7e3cff4-2e7d-4fca-bc1c-3cdd68671df6,"{'src': 'http://localhost:8000/image/19860b0a-0055-45d4-b624-1f49ea9a8890', 'lat': 52.513842058002, 'lng': 13.401550800495}","{'src': 'http://localhost:8000/image/d7e3cff4-2e7d-4fca-bc1c-3cdd68671df6', 'lat': 52.513797511976, 'lng': 13.401431311937}",True,True
