id,left,right,liked,seen
826bca6c-e828-4f14-a412-595056400cbd__f5f8e742-8b38-444b-85db-52bf9447e5c9,"{'src': 'http://localhost:8000/image/826bca6c-e828-4f14-a412-595056400cbd', 'lat': 52.518431544264, 'lng': 13.388541007992}","{'src': 'http://localhost:8000/image/f5f8e742-8b38-444b-85db-52bf9447e5c9', 'lat': 52.518514696851, 'lng': 13.388668973891}",True,True
12f6801c-96ce-495b-80e9-7b6247f8afd6__d3d2d070-d66a-4eeb-b715-5c4a4caf4dee,"{'src': 'http://localhost:8000/image/12f6801c-96ce-495b-80e9-7b6247f8afd6', 'lat': 52.512618394772, 'lng': 13.403076988204}","{'src': 'http://localhost:8000/image/d3d2d070-d66a-4eeb-b715-5c4a4caf4dee', 'lat': 52.512512916245, 'lng': 13.403078759803}",True,True
4894ffb2-4bf8-49f7-b133-1f319b0684bc__af09d7ca-832d-4a42-b07c-c271b0d3dffc,"{'src': 'http://localhost:8000/image/4894ffb2-4bf8-49f7-b133-1f319b0684bc', 'lat': 52.519729734231, 'lng': 13.396295644268}","{'src': 'http://localhost:8000/image/af09d7ca-832d-4a42-b07c-c271b0d3dffc', 'lat': 52.519617957995, 'lng': 13.396184122173}",True,True
