uuid,orig_id,path,sharpness
0268555c-f8d4-43d4-b193-7c350bc228e3,4354052504626855,thumb_256/4354052504626855.jpg,15883.909773225701
fb6d2718-30d1-44c0-bd42-62350323ceff,1130645534081599,thumb_256/1130645534081599.jpg,13279.587073365301
5c6ef1fa-6c0a-4e76-8bc5-ca2effcd2343,183240616999521,thumb_256/183240616999521.jpg,30295.493791989327
659a4b2e-0f70-4fbf-831d-55166aa4f0ed,317127510029013,thumb_256/317127510029013.jpg,11879.343870953897
e7d32799-158b-45fe-8876-db5c45bf65d3,472518500627066,thumb_256/472518500627066.jpg,14946.848378719296
9d4b8a87-cb86-463d-b999-1afb592854e1,799965257391459,thumb_256/799965257391459.jpg,13229.783720392434
3c955799-cddc-4e40-b995-95a00d060c28,3839751572739077,thumb_256/3839751572739077.jpg,5884.455424135952
d9702669-ccc1-4b82-9959-f395cf18e633,480177683437707,thumb_256/480177683437707.jpg,14490.070753976846
3d97f02d-cd78-4f12-a7c8-a2415567b204,556655021967740,thumb_256/556655021967740.jpg,11548.659957579355
3568179b-a978-4a43-8a68-e9e6b5151ce2,215951206718950,thumb_256/215951206718950.jpg,25622.266871358668
5a589d6e-6b29-4622-8387-980014b6067b,3019895911630506,thumb_256/3019895911630506.jpg,21606.00276656141
2cb3d318-1a7a-4f45-afc1-f12538813e7c,934880137273977,thumb_256/934880137273977.jpg,21288.83479938479
829b1eed-c73b-4945-be65-766a6b1c9dd6,315640243288406,thumb_256/315640243288406.jpg,38128.7715709636
46bbcb62-11c1-48b0-a242-3bfefcd9acb2,493399348527509,thumb_256/493399348527509.jpg,12753.735877817258
22f4201a-4613-4c6d-b16a-12109821b2e5,1108571239631336,thumb_256/1108571239631336.jpg,11851.310870681833
cd4456e2-f36f-4c3a-b991-07e6a4ba7247,785246358853587,thumb_256/785246358853587.jpg,13573.875344068203
de140448-5e85-4dbf-90c2-3ca433388499,838052827133778,thumb_256/838052827133778.jpg,9530.562563752277
53263dac-6c74-4f5c-a998-69ae3228fecb,870882210133936,thumb_256/870882210133936.jpg,24633.768269678516
1ffffe0f-05f2-47fa-adff-a2328df34fea,473930150539851,thumb_256/473930150539851.jpg,20409.377204380544
e8f34168-53e2-4f61-8432-924a97f73fb6,468561557781522,thumb_256/468561557781522.jpg,20579.051534083745
56c4d612-b7f7-47e5-befd-1612476515c9,954086705366958,thumb_256/954086705366958.jpg,17643.52282941787
90a5051e-5ce7-4526-8090-1c81b0035fac,162164985765108,thumb_256/162164985765108.jpg,14793.547432083837
d8ba0605-d6a6-4fd4-871b-6495ea6727f7,176038394409693,thumb_256/176038394409693.jpg,15850.272715012561
